iter	Passed	Remaining
880	24415	252716
881	24442	252688
882	24470	252656
883	24497	252621
884	24525	252594
885	24552	252567
886	24580	252539
887	24607	252504
888	24634	252471
889	24661	252436
890	24689	252409
891	24717	252382
892	24745	252356
893	24774	252341
894	24802	252316
895	24830	252295
896	24858	252269
897	24885	252237
898	24912	252204
899	24940	252175
900	24968	252149
901	24995	252117
902	25022	252078
903	25049	252051
904	25077	252021
905	25105	251992
906	25132	251966
907	25160	251937
908	25188	251907
909	25215	251880
910	25243	251850
911	25270	251823
912	25298	251794
913	25325	251762
914	25352	251726
915	25380	251695
916	25407	251660
917	25434	251627
918	25462	251601
919	25490	251575
920	25517	251546
921	25544	251513
922	25571	251476
923	25599	251448
924	25626	251414
925	25654	251389
926	25681	251359
927	25709	251331
928	25737	251305
929	25764	251275
930	25792	251243
931	25819	251212
932	25846	251182
933	25875	251160
934	25903	251135
935	25931	251111
936	25959	251084
937	25986	251053
938	26013	251018
939	26041	250991
940	26069	250969
941	26096	250932
942	26123	250899
943	26151	250872
944	26178	250847
945	26206	250817
946	26234	250794
947	26262	250766
948	26289	250737
949	26317	250705
950	26344	250674
951	26372	250646
952	26400	250621
953	26427	250590
954	26455	250565
955	26483	250538
956	26511	250513
957	26538	250478
958	26564	250440
959	26591	250407
960	26600	250203
961	26628	250179
962	26657	250159
963	26684	250129
964	26712	250104
965	26741	250081
966	26769	250058
967	26797	250033
968	26824	250001
969	26851	249969
970	26879	249940
971	26907	249915
972	26934	249889
973	26962	249862
974	26990	249835
975	27018	249807
976	27045	249775
977	27073	249747
978	27103	249741
979	27131	249724
980	27159	249699
981	27187	249668
982	27214	249634
983	27242	249609
984	27270	249584
985	27298	249559
986	27326	249535
987	27353	249504
988	27382	249484
989	27409	249458
990	27436	249424
991	27464	249392
992	27491	249363
993	27519	249338
994	27548	249317
995	27576	249291
996	27604	249271
997	27632	249244
998	27659	249213
999	27686	249181
1000	27713	249147
1001	27741	249120
1002	27769	249090
1003	27797	249068
1004	27824	249038
1005	27852	249012
1006	27879	248979
1007	27907	248951
1008	27934	248921
1009	27962	248890
1010	27989	248856
1011	28016	248822
1012	28042	248787
1013	28070	248757
1014	28099	248738
1015	28126	248712
1016	28154	248684
1017	28181	248651
1018	28209	248622
1019	28236	248590
1020	28263	248555
1021	28290	248528
1022	28318	248497
1023	28346	248472
1024	28373	248443
1025	28401	248415
1026	28428	248386
1027	28456	248356
1028	28483	248327
1029	28511	248301
1030	28539	248274
1031	28567	248246
1032	28594	248211
1033	28621	248180
1034	28649	248154
1035	28676	248126
1036	28704	248097
1037	28731	248067
1038	28758	248034
1039	28786	248007
1040	28820	248032
1041	28847	248002
1042	28874	247965
1043	28900	247925
1044	28927	247886
1045	28953	247848
1046	28981	247819
1047	29008	247789
1048	29036	247762
1049	29063	247730
1050	29091	247705
1051	29118	247670
1052	29145	247642
1053	29173	247614
1054	29201	247587
1055	29229	247567
1056	29256	247533
1057	29284	247508
1058	29312	247483
1059	29340	247454
1060	29367	247421
1061	29394	247390
1062	29422	247367
1063	29449	247333
1064	29481	247341
1065	29510	247324
1066	29538	247295
1067	29565	247264
1068	29593	247237
1069	29620	247207
1070	29647	247176
1071	29675	247145
1072	29702	247116
1073	29730	247085
1074	29757	247053
1075	29784	247020
1076	29812	246994
1077	29839	246966
1078	29867	246942
1079	29895	246916
1080	29923	246891
1081	29951	246862
1082	29978	246831
1083	30005	246800
1084	30033	246772
1085	30061	246751
1086	30089	246719
1087	30116	246693
1088	30144	246661
1089	30172	246639
1090	30200	246612
1091	30227	246584
1092	30256	246560
1093	30283	246530
1094	30310	246498
1095	30338	246475
1096	30367	246454
1097	30394	246419
1098	30421	246392
1099	30449	246360
1100	30475	246326
1101	30503	246296
1102	30530	246266
1103	30558	246241
1104	30586	246214
1105	30614	246186
1106	30642	246162
1107	30670	246136
1108	30698	246110
1109	30725	246077
1110	30753	246052
1111	30780	246023
1112	30808	246000
